ID,Age,Netflix,Hulu,Prime_Video,Disney
587,18+,1,0,0,0
588,18+,1,0,0,0
591,18+,1,0,0,0
594,18+,1,0,0,0
596,18+,1,0,0,0
602,18+,1,0,0,0
607,18+,1,0,0,0
615,18+,1,0,0,0
619,18+,1,0,0,0
620,18+,1,0,0,0
622,18+,1,0,0,0
625,18+,1,0,0,0
631,18+,1,0,0,0
633,18+,1,0,0,0
634,18+,1,0,0,0
638,18+,1,0,0,0
644,18+,1,0,0,0
645,18+,1,0,0,0
646,18+,1,0,1,0
648,18+,1,0,0,0
655,18+,1,0,0,0
658,18+,1,0,0,0
667,18+,1,0,0,0
672,18+,1,0,0,0
675,18+,1,0,0,0
680,18+,1,0,1,0
684,18+,1,0,0,0
687,18+,1,0,0,0
689,18+,1,0,0,0
692,18+,1,0,0,0
696,18+,1,0,0,0
697,18+,1,0,1,0
698,18+,1,0,0,0
700,18+,1,0,0,0
701,18+,1,0,0,0
705,18+,1,0,1,0
706,18+,1,0,0,0
707,18+,1,0,0,0
709,18+,1,0,0,0
710,18+,1,0,0,0
716,18+,1,0,0,0
720,18+,1,0,0,0
726,18+,1,0,0,0
730,18+,1,0,0,0
732,18+,1,0,0,0
734,18+,1,0,0,0
736,18+,1,0,0,0
740,18+,1,0,0,0
741,18+,1,0,0,0
744,18+,1,0,0,0
745,18+,1,0,0,0
749,18+,1,0,0,0
752,18+,1,0,0,0
753,18+,1,0,0,0
754,18+,1,0,0,0
755,18+,1,0,0,0
756,18+,1,0,0,0
758,18+,1,0,0,0
761,18+,1,0,0,0
769,18+,1,0,0,0
771,18+,1,0,0,0
775,18+,1,0,0,0
776,18+,1,0,0,0
779,18+,1,0,0,0
780,18+,1,0,0,0
781,18+,1,0,0,0
787,18+,1,0,0,0
791,18+,1,0,0,0
795,18+,1,0,0,0
796,18+,1,0,0,0
799,18+,1,0,0,0
803,18+,1,0,0,0
810,18+,1,0,0,0
813,18+,1,0,0,0
818,18+,1,0,0,0
822,18+,1,0,0,0
824,18+,1,0,0,0
828,18+,1,0,0,0
831,18+,1,0,1,0
837,18+,1,0,0,0
838,18+,1,0,1,0
844,18+,1,0,0,0
845,18+,1,0,0,0
846,18+,1,0,1,0
851,18+,1,0,0,0
852,18+,1,0,0,0
854,18+,1,0,0,0
856,18+,1,0,0,0
858,18+,1,0,0,0
862,18+,1,0,0,0
864,18+,1,0,0,0
867,18+,1,0,0,0
868,18+,1,0,0,0
873,18+,1,0,0,0
875,18+,1,0,0,0
877,18+,1,0,0,0
879,18+,1,0,0,0
883,18+,1,0,0,0
885,18+,1,0,0,0
890,18+,1,0,1,0
892,18+,1,0,0,0
893,18+,1,0,0,0
894,18+,1,0,0,0
897,18+,1,0,0,0
900,18+,1,0,0,0
903,18+,1,0,0,0
905,18+,1,0,0,0
918,18+,1,0,0,0
919,18+,1,0,0,0
920,18+,1,0,0,0
922,18+,1,0,0,0
923,18+,1,0,0,0
924,18+,1,0,0,0
926,18+,1,0,0,0
927,18+,1,0,0,0
928,18+,1,0,0,0
931,18+,1,0,0,0
932,18+,1,0,0,0
935,18+,1,0,0,0
939,18+,1,0,0,0
942,18+,1,0,0,0
944,18+,1,0,0,0
945,18+,1,0,0,0
946,18+,1,0,1,0
950,18+,1,0,0,0
951,18+,1,0,0,0
967,18+,1,0,0,0
969,18+,1,0,1,0
971,18+,1,0,1,0
975,18+,1,0,0,0
977,18+,1,0,0,0
979,18+,1,0,0,0
990,18+,1,0,0,0
992,18+,1,0,0,0
994,18+,1,0,0,0
996,18+,1,0,0,0
997,18+,1,0,0,0
998,18+,1,0,0,0
1007,18+,1,0,0,0
1008,18+,1,0,0,0
1013,18+,1,0,0,0
1016,18+,1,0,0,0
1018,18+,1,0,0,0
1019,18+,1,0,0,0
1020,18+,1,0,0,0
1021,18+,1,0,0,0
1027,18+,1,0,0,0
1029,18+,1,0,0,0
1031,18+,1,0,0,0
1033,18+,1,0,0,0
1035,18+,1,0,0,0
1036,18+,1,1,0,0
1037,18+,1,0,0,0
1043,18+,1,0,0,0
1052,18+,1,0,0,0
1054,18+,1,0,0,0
1059,18+,1,0,0,0
1062,18+,1,0,0,0
1064,18+,1,0,0,0
1065,18+,1,0,0,0
1071,18+,1,0,0,0
1072,18+,1,0,0,0
1076,18+,1,0,0,0
1078,18+,1,0,0,0
1085,18+,1,0,0,0
1091,18+,1,0,1,0
1097,18+,1,0,0,0
1098,18+,1,0,0,0
1101,18+,1,0,0,0
1103,18+,1,0,0,0
1106,18+,1,0,1,0
1108,18+,1,0,0,0
1113,18+,1,0,0,0
1114,18+,1,0,1,0
1124,18+,1,0,0,0
1129,18+,1,0,0,0
1131,18+,1,0,0,0
1133,18+,1,0,0,0
1136,18+,1,0,0,0
1144,18+,1,0,1,0
1145,18+,1,0,0,0
1150,18+,1,0,0,0
1151,18+,1,0,0,0
1152,18+,1,0,0,0
1159,18+,1,0,0,0
1160,18+,1,0,0,0
1161,18+,1,0,0,0
1162,18+,1,0,0,0
1163,18+,1,0,1,0
1165,18+,1,0,0,0
1166,18+,1,0,0,0
1172,18+,1,0,0,0
1173,18+,1,0,0,0
1174,18+,1,0,0,0
1177,18+,1,0,0,0
1178,18+,1,0,1,0
1184,18+,1,0,0,0
1197,18+,1,0,0,0
1203,18+,1,0,0,0
1211,18+,1,0,0,0
1214,18+,1,0,0,0
1216,18+,1,0,0,0
1220,18+,1,0,0,0
1222,18+,1,0,0,0
1224,18+,1,0,0,0
1226,18+,1,0,0,0
1230,18+,1,0,0,0
1238,18+,1,0,0,0
1240,18+,1,0,0,0
1244,18+,1,0,0,0
1250,18+,1,0,0,0
1251,18+,1,0,0,0
1258,18+,1,0,0,0
1262,18+,1,0,0,0
1264,18+,1,0,0,0
1268,18+,1,0,0,0
1269,18+,1,0,0,0
1282,18+,1,0,0,0
1285,18+,1,0,1,0
1288,18+,1,0,0,0
1301,18+,1,0,1,0
1303,18+,1,0,0,0
1304,18+,1,0,0,0
1310,18+,1,0,0,0
1318,18+,1,0,0,0
1320,18+,1,0,0,0
1322,18+,1,0,0,0
1330,18+,1,0,0,0
1337,18+,1,0,0,0
1339,18+,1,0,0,0
1340,18+,1,0,0,0
1341,18+,1,0,0,0
1342,18+,1,0,1,0
1343,18+,1,0,1,0
1353,18+,1,0,0,0
1356,18+,1,0,0,0
1360,18+,1,0,0,0
1373,18+,1,0,0,0
1374,18+,1,0,0,0
1375,18+,1,0,0,0
1376,18+,1,0,0,0
1377,18+,1,0,0,0
1381,18+,1,0,0,0
1382,18+,1,0,0,0
1387,18+,1,0,0,0
1395,18+,1,0,0,0
1397,18+,1,0,0,0
1401,18+,1,0,0,0
1405,18+,1,0,0,0
1409,18+,1,0,1,0
1416,18+,1,0,0,0
1420,18+,1,0,0,0
1421,18+,1,0,1,0
1424,18+,1,0,1,0
1425,18+,1,0,0,0
1426,18+,1,0,0,0
1428,18+,1,0,0,0
1431,18+,1,0,1,0
1432,18+,1,0,0,0
1437,18+,1,0,0,0
1443,18+,1,0,1,0
1445,18+,1,0,0,0
1447,18+,1,0,0,0
1449,18+,1,0,0,0
1453,18+,1,0,0,0
1456,18+,1,0,0,0
1461,18+,1,0,0,0
1462,18+,1,0,0,0
1471,18+,1,0,0,0
1473,18+,1,0,0,0
1474,18+,1,0,0,0
1478,18+,1,0,0,0
1486,18+,1,0,0,0
1489,18+,1,0,0,0
1494,18+,1,0,0,0
1500,18+,1,0,0,0
1512,18+,1,0,0,0
1514,18+,1,0,0,0
1515,18+,1,0,1,0
1524,18+,1,0,1,0
1526,18+,1,0,1,0
1532,18+,1,0,0,0
1537,18+,1,0,0,0
1538,18+,1,0,0,0
1540,18+,1,0,0,0
1545,18+,1,0,0,0
1553,18+,1,0,0,0
1562,18+,1,0,0,0
1570,18+,1,0,0,0
1572,18+,1,0,0,0
1576,18+,1,0,0,0
1577,18+,1,0,0,0
1580,18+,1,0,0,0
1581,18+,1,0,0,0
1583,18+,1,0,0,0
1587,18+,1,0,1,0
1593,18+,1,0,0,0
1597,18+,1,0,0,0
1600,18+,1,0,0,0
1605,18+,1,0,0,0
1608,18+,1,0,0,0
1609,18+,1,0,0,0
1613,18+,1,0,0,0
1617,18+,1,0,0,0
1619,18+,1,0,0,0
1622,18+,1,0,0,0
1623,18+,1,0,1,0
1636,18+,1,0,0,0
1637,18+,1,0,0,0
1647,18+,1,0,0,0
1652,18+,1,0,1,0
1658,18+,1,0,0,0
1659,18+,1,0,0,0
1660,18+,1,0,0,0
1661,18+,1,0,1,0
1666,18+,1,0,0,0
1668,18+,1,0,0,0
1675,18+,1,0,0,0
1678,18+,1,0,0,0
1683,18+,1,0,0,0
1689,18+,1,0,0,0
1690,18+,1,0,0,0
1697,18+,1,0,0,0
1703,18+,1,0,0,0
1705,18+,1,0,0,0
1707,18+,1,0,1,0
1709,18+,1,0,0,0
1727,18+,1,0,0,0
1728,18+,1,0,0,0
1731,18+,1,0,0,0
1741,18+,1,0,0,0
1742,18+,1,0,0,0
1745,18+,1,0,0,0
1749,18+,1,0,1,0
1764,18+,1,0,0,0
1771,18+,1,0,0,0
1778,18+,1,0,0,0
1792,18+,1,0,0,0
1793,18+,1,0,0,0
1807,18+,1,0,0,0
1809,18+,1,0,0,0
1810,18+,1,0,0,0
1811,18+,1,0,0,0
1812,18+,1,0,0,0
1815,18+,1,0,0,0
1826,18+,1,0,0,0
1828,18+,1,0,0,0
1831,18+,1,0,0,0
1840,18+,1,0,0,0
1844,18+,1,0,0,0
1846,18+,1,0,0,0
1847,18+,1,0,0,0
1850,18+,1,0,1,0
1852,18+,1,0,0,0
1853,18+,1,0,0,0
1854,18+,1,0,0,0
1862,18+,1,0,0,0
1871,18+,1,0,0,0
1881,18+,1,0,0,0
1883,18+,1,0,0,0
1884,18+,1,0,0,0
1893,18+,1,0,0,0
1922,18+,1,0,0,0
1924,18+,1,0,0,0
1932,18+,1,0,0,0
1933,18+,1,0,0,0
1935,18+,1,0,0,0
1938,18+,1,0,0,0
1942,18+,1,0,0,0
1944,18+,1,0,1,0
1946,18+,1,0,0,0
1952,18+,1,0,0,0
1956,18+,1,0,0,0
1958,18+,1,0,0,0
1960,18+,1,0,0,0
1972,18+,1,0,0,0
1973,18+,1,0,0,0
2001,18+,1,0,0,0
2022,18+,1,0,0,0
2030,18+,1,0,0,0
2031,18+,1,0,1,0
2040,18+,1,0,0,0
2045,18+,1,0,0,0
2046,18+,1,0,0,0
2050,18+,1,0,0,0
2071,18+,1,0,0,0
2076,18+,1,0,0,0
2077,18+,1,0,0,0
2107,18+,1,0,0,0
2108,18+,1,0,0,0
2109,18+,1,0,0,0
2110,18+,1,0,0,0
2112,18+,1,0,0,0
2116,18+,1,0,1,0
2118,18+,1,0,0,0
2122,18+,1,0,1,0
2124,18+,1,0,0,0
2148,18+,1,0,0,0
2157,18+,1,0,0,0
2162,18+,1,0,0,0
2163,18+,1,0,1,0
2165,18+,1,0,0,0
2172,18+,1,0,0,0
2182,18+,1,0,0,0
2193,18+,1,0,0,0
2194,18+,1,0,0,0
2197,18+,1,0,0,0
2209,18+,1,0,0,0
2215,18+,1,0,0,0
2223,18+,1,0,0,0
2232,18+,1,0,0,0
2240,18+,1,0,0,0
2245,18+,1,0,0,0
2247,18+,1,0,0,0
2248,18+,1,0,0,0
2250,18+,1,0,0,0
2253,18+,1,0,0,0
2257,18+,1,0,0,0
2261,18+,1,0,0,0
2273,18+,1,0,0,0
2281,18+,1,0,0,0
2293,18+,1,0,0,0
2297,18+,1,0,1,0
2315,18+,1,0,0,0
2317,18+,1,0,0,0
2321,18+,1,0,0,0
2333,18+,1,0,0,0
2337,18+,1,0,0,0
2346,18+,1,0,0,0
2347,18+,1,0,0,0
2351,18+,1,0,0,0
2354,18+,1,0,0,0
2368,18+,1,0,0,0
2369,18+,1,0,0,0
2370,18+,1,0,0,0
2375,18+,1,0,0,0
2385,18+,1,0,0,0
2386,18+,1,0,1,0
2387,18+,1,0,0,0
2398,18+,1,0,0,0
2399,18+,1,0,0,0
2404,18+,1,0,0,0
2407,18+,1,0,0,0
2412,18+,1,0,0,0
2430,18+,1,0,0,0
2438,18+,1,0,0,0
2451,18+,1,0,0,0
2477,18+,1,0,1,0
2484,18+,1,0,0,0
2486,18+,1,0,0,0
2518,18+,1,0,0,0
2523,18+,1,0,1,0
2531,18+,1,0,1,0
2539,18+,1,0,1,0
2543,18+,1,0,1,0
2556,18+,1,0,1,0
2572,18+,1,0,0,0
2596,18+,1,0,0,0
2626,18+,1,0,0,0
2643,18+,1,0,0,0
2647,18+,1,0,1,0
2653,18+,1,0,0,0
2685,18+,1,0,1,0
2688,18+,1,0,0,0
2699,18+,1,0,0,0
2701,18+,1,0,0,0
2702,18+,1,0,0,0
2703,18+,1,0,0,0
2720,18+,1,0,1,0
2740,18+,1,0,0,0
2747,18+,1,0,0,0
2800,18+,1,0,0,0
2803,18+,1,0,1,0
2828,18+,1,0,0,0
2832,18+,1,0,0,0
2842,18+,1,0,0,0
2850,18+,1,0,0,0
2859,18+,1,0,0,0
2868,18+,1,0,0,0
2904,18+,1,0,0,0
2910,18+,1,0,1,0
2914,18+,1,0,0,0
2917,18+,1,0,0,0
2923,18+,1,0,1,0
2932,18+,1,0,0,0
2940,18+,1,0,1,0
3004,18+,1,0,0,0
3069,18+,1,0,0,0
3086,18+,1,0,0,0
3088,18+,1,0,0,0
3098,18+,1,0,0,0
3102,18+,1,0,0,0
3112,18+,1,0,0,0
3140,18+,1,0,0,0
3148,18+,1,0,0,0
3159,18+,1,0,1,0
3188,18+,1,0,0,0
3189,18+,1,0,0,0
3237,18+,1,0,0,0
3281,18+,1,0,0,0
3293,18+,1,0,0,0
3299,18+,1,0,0,0
3365,18+,1,0,0,0
3368,18+,1,0,1,0
3377,18+,1,0,0,0
3404,18+,1,0,0,0
3418,18+,1,0,0,0
3435,18+,1,0,1,0
3562,18+,0,1,0,0
3563,18+,0,1,1,0
3564,18+,0,1,0,0
3565,18+,0,1,0,0
3568,18+,0,1,0,0
3569,18+,0,1,1,0
3571,18+,0,1,0,0
3572,18+,0,1,0,0
3574,18+,0,1,0,0
3575,18+,0,1,0,0
3578,18+,0,1,0,0
3579,18+,0,1,0,0
3580,18+,0,1,0,0
3582,18+,0,1,0,0
3583,18+,0,1,0,0
3584,18+,0,1,0,0
3585,18+,0,1,0,0
3586,18+,0,1,1,0
3587,18+,0,1,1,0
3592,18+,0,1,0,0
3596,18+,0,1,1,0
3597,18+,0,1,1,0
3598,18+,0,1,1,0
3599,18+,0,1,1,0
3604,18+,0,1,0,0
3605,18+,0,1,0,0
3606,18+,0,1,0,0
3607,18+,0,1,1,0
3608,18+,0,1,0,0
3610,18+,0,1,1,0
3615,18+,0,1,0,0
3618,18+,0,1,0,0
3620,18+,0,1,0,0
3622,18+,0,1,0,0
3625,18+,0,1,0,0
3626,18+,0,1,0,0
3627,18+,0,1,1,0
3628,18+,0,1,0,0
3633,18+,0,1,0,0
3634,18+,0,1,0,0
3636,18+,0,1,0,0
3637,18+,0,1,0,0
3640,18+,0,1,0,0
3641,18+,0,1,0,0
3642,18+,0,1,0,0
3646,18+,0,1,0,0
3647,18+,0,1,0,0
3648,18+,0,1,0,0
3651,18+,0,1,0,0
3652,18+,0,1,0,0
3653,18+,0,1,0,0
3654,18+,0,1,0,0
3658,18+,0,1,0,0
3659,18+,0,1,0,0
3661,18+,0,1,1,0
3662,18+,0,1,1,0
3663,18+,0,1,0,0
3670,18+,0,1,0,0
3671,18+,0,1,0,0
3672,18+,0,1,0,0
3674,18+,0,1,0,0
3676,18+,0,1,1,0
3682,18+,0,1,0,0
3683,18+,0,1,0,0
3685,18+,0,1,0,0
3688,18+,0,1,0,0
3689,18+,0,1,1,0
3691,18+,0,1,0,0
3695,18+,0,1,0,0
3697,18+,0,1,0,0
3698,18+,0,1,0,0
3699,18+,0,1,0,0
3700,18+,0,1,0,0
3702,18+,0,1,0,0
3704,18+,0,1,0,0
3706,18+,0,1,1,0
3710,18+,0,1,0,0
3712,18+,0,1,1,0
3714,18+,0,1,1,0
3717,18+,0,1,1,0
3721,18+,0,1,1,0
3722,18+,0,1,0,0
3724,18+,0,1,0,0
3726,18+,0,1,0,0
3727,18+,0,1,0,0
3731,18+,0,1,0,0
3733,18+,0,1,1,0
3740,18+,0,1,0,0
3742,18+,0,1,1,0
3747,18+,0,1,0,0
3752,18+,0,1,0,0
3753,18+,0,1,0,0
3757,18+,0,1,1,0
3758,18+,0,1,0,0
3760,18+,0,1,0,0
3767,18+,0,1,1,0
3769,18+,0,1,0,0
3770,18+,0,1,0,0
3771,18+,0,1,0,0
3772,18+,0,1,0,0
3773,18+,0,1,1,0
3774,18+,0,1,0,0
3776,18+,0,1,0,0
3777,18+,0,1,0,0
3778,18+,0,1,0,0
3779,18+,0,1,1,0
3781,18+,0,1,1,0
3786,18+,0,1,1,0
3788,18+,0,1,1,0
3789,18+,0,1,0,0
3797,18+,0,1,0,0
3800,18+,0,1,0,0
3802,18+,0,1,0,0
3803,18+,0,1,0,0
3804,18+,0,1,1,0
3805,18+,0,1,1,0
3809,18+,0,1,1,0
3811,18+,0,1,1,0
3812,18+,0,1,1,0
3813,18+,0,1,0,0
3816,18+,0,1,0,0
3817,18+,0,1,0,0
3819,18+,0,1,0,0
3824,18+,0,1,0,0
3825,18+,0,1,1,0
3827,18+,0,1,0,0
3828,18+,0,1,1,0
3830,18+,0,1,1,0
3834,18+,0,1,1,0
3835,18+,0,1,0,0
3836,18+,0,1,0,0
3837,18+,0,1,0,0
3841,18+,0,1,0,0
3843,18+,0,1,0,0
3848,18+,0,1,0,0
3850,18+,0,1,0,0
3857,18+,0,1,0,0
3860,18+,0,1,1,0
3864,18+,0,1,0,0
3870,18+,0,1,1,0
3873,18+,0,1,1,0
3874,18+,0,1,0,0
3876,18+,0,1,0,0
3877,18+,0,1,1,0
3884,18+,0,1,1,0
3886,18+,0,1,0,0
3887,18+,0,1,0,0
3889,18+,0,1,0,0
3890,18+,0,1,0,0
3894,18+,0,1,0,0
3898,18+,0,1,1,0
3899,18+,0,1,0,0
3901,18+,0,1,0,0
3906,18+,0,1,0,0
3907,18+,0,1,0,0
3912,18+,0,1,1,0
3915,18+,0,1,0,0
3917,18+,0,1,0,0
3920,18+,0,1,1,0
3922,18+,0,1,0,0
3923,18+,0,1,0,0
3926,18+,0,1,0,0
3927,18+,0,1,0,0
3932,18+,0,1,1,0
3935,18+,0,1,1,0
3936,18+,0,1,1,0
3938,18+,0,1,1,0
3947,18+,0,1,0,0
3948,18+,0,1,0,0
3952,18+,0,1,0,0
3956,18+,0,1,1,0
3957,18+,0,1,0,0
3959,18+,0,1,1,0
3960,18+,0,1,0,0
3961,18+,0,1,1,1
3963,18+,0,1,0,0
3967,18+,0,1,1,0
3971,18+,0,1,0,0
3977,18+,0,1,0,0
3981,18+,0,1,1,0
3982,18+,0,1,0,0
3988,18+,0,1,1,0
3989,18+,0,1,0,0
3991,18+,0,1,1,0
3997,18+,0,1,0,0
3999,18+,0,1,0,0
4001,18+,0,1,1,0
4008,18+,0,1,1,0
4009,18+,0,1,0,0
4010,18+,0,1,1,0
4016,18+,0,1,0,0
4018,18+,0,1,0,0
4029,18+,0,1,1,0
4031,18+,0,1,1,0
4032,18+,0,1,0,0
4033,18+,0,1,0,0
4035,18+,0,1,1,0
4043,18+,0,1,1,0
4047,18+,0,1,1,0
4053,18+,0,1,0,0
4055,18+,0,1,1,0
4060,18+,0,1,0,0
4061,18+,0,1,0,0
4062,18+,0,1,1,0
4063,18+,0,1,0,0
4073,18+,0,1,0,0
4075,18+,0,1,0,0
4082,18+,0,1,1,0
4084,18+,0,1,0,0
4089,18+,0,1,1,0
4092,18+,0,1,1,0
4094,18+,0,1,0,0
4102,18+,0,1,0,0
4104,18+,0,1,0,0
4105,18+,0,1,0,0
4107,18+,0,1,1,0
4110,18+,0,1,0,0
4111,18+,0,1,0,0
4115,18+,0,1,0,0
4122,18+,0,1,0,0
4125,18+,0,1,1,0
4128,18+,0,1,0,0
4130,18+,0,1,1,0
4131,18+,0,1,1,0
4132,18+,0,1,0,0
4134,18+,0,1,0,0
4137,18+,0,1,1,0
4142,18+,0,1,0,0
4149,18+,0,1,1,0
4150,18+,0,1,0,0
4152,18+,0,1,0,0
4154,18+,0,1,0,0
4156,18+,0,1,1,0
4161,18+,0,1,0,0
4165,18+,0,1,1,0
4173,18+,0,1,1,0
4177,18+,0,1,1,0
4179,18+,0,1,0,0
4180,18+,0,1,1,0
4181,18+,0,1,0,0
4182,18+,0,1,0,0
4183,18+,0,1,0,0
4187,18+,0,1,0,0
4195,18+,0,1,0,0
4196,18+,0,1,0,0
4199,18+,0,1,0,0
4226,18+,0,1,0,0
4228,18+,0,1,1,0
4229,18+,0,1,1,0
4239,18+,0,1,0,0
4244,18+,0,1,0,0
4245,18+,0,1,1,0
4247,18+,0,1,1,0
4253,18+,0,1,0,0
4256,18+,0,1,0,0
4260,18+,0,1,0,0
4267,18+,0,1,0,0
4268,18+,0,1,0,0
4270,18+,0,1,0,0
4276,18+,0,1,0,0
4283,18+,0,1,0,0
4287,18+,0,1,0,0
4289,18+,0,1,0,0
4292,18+,0,1,0,0
4296,18+,0,1,0,0
4300,18+,0,1,0,0
4303,18+,0,1,0,0
4307,18+,0,1,1,0
4331,18+,0,1,0,0
4335,18+,0,1,1,0
4339,18+,0,1,0,0
