ID,Title,Year,Age,IMDb,Rotten_Tomatoes,Directors,Genres,Country,Language,Runtime
235,American Factory,2019,16+,7.4,97%,"Steven Bognar,Julia Reichert",Documentary,United States,"English,Mandarin",110
247,The Wolf's Call,2019,16+,6.9,92%,Antonin Baudry,"Action,Adventure,Sci-Fi,Thriller",France,French,115
250,The White Helmets,2016,16+,7.5,100%,Orlando von Einsiedel,"Documentary,Short,Crime,War",United Kingdom,"Arabic,English",41
281,The Edge of Democracy,2019,16+,7.1,97%,Petra Costa,"Documentary,History",Brazil,"Portuguese,English",121
333,Sour Grapes,2016,16+,7.3,96%,Larry David,Comedy,United States,English,91
400,Get Me Roger Stone,2017,16+,7.4,88%,"Dylan Bank,Daniel DiMauro,Morgan Pehme","Documentary,Biography",United States,English,92
416,Our Souls at Night,2017,16+,6.9,90%,Ritesh Batra,"Drama,Romance",United States,English,103
542,Behind the Curve,2018,16+,6.5,89%,Daniel J. Clark,Documentary,United States,English,96
556,To All the Boys: P.S. I Still Love You,2020,16+,6,75%,Michael Fimognari,"Comedy,Romance",United States,English,101
652,When We First Met,2018,16+,6.4,56%,Ari Sandel,"Comedy,Fantasy,Romance",United States,"English,Mandarin",97
661,The Perfect Date,2019,16+,5.8,65%,Chris Nelson,"Comedy,Romance",United States,English,89
662,A Fortunate Man,2018,16+,7.2,80%,Bille August,Drama,Denmark,"Danish,German",162
678,The Rolling Stones: Olé Olé Olé! – A Trip Across Latin America,2016,16+,7.5,100%,Paul Dugdale,"Documentary,Music",United Kingdom,"English,Spanish,Portuguese",105
686,Seeing Allred,2018,16+,6.8,100%,"Roberta Grossman,Sophie Sartain",Documentary,United States,English,96
715,The Kissing Booth,2018,16+,6.1,17%,Vince Marcello,"Comedy,Romance","United Kingdom,United States",English,105
742,Joshua: Teenager vs. Superpower,2017,16+,7,93%,Joe Piscatella,Documentary,United States,"English,Cantonese",79
786,Lady J,2018,16+,6.9,83%,Emmanuel Mouret,"Drama,Romance",France,French,109
855,Dhobi Ghat,2010,16+,7,68%,Kiran Rao,Drama,India,"Hindi,English",100
909,EMO the Musical,2017,16+,6.1,75%,Neil Triffett,"Comedy,Music,Musical",Australia,English,94
934,Set It Up,2018,16+,6.5,NA,Claire Scanlon,"Comedy,Romance",United States,English,105
938,Atlantics,2019,16+,6.7,95%,Mati Diop,"Drama,Mystery,Romance","France,Senegal,Belgium","Wolof,French,English,Arabic",106
952,Deidra & Laney Rob a Train,2017,16+,6.1,91%,Sydney Freeland,"Comedy,Crime,Drama",United States,English,92
959,Nobody Speak: Trials of the Free Press,2017,16+,6.5,91%,Brian Knappenberger,Documentary,"Netherlands,United States",English,95
981,The Bleeding Edge,2018,16+,7.7,100%,Kirby Dick,Documentary,"Australia,United States",English,99
1015,Jim Gaffigan: Obsessed,2014,16+,7.6,100%,Jay Chapman,"Documentary,Comedy",United States,English,60
1017,Bleach the Movie: Hell Verse,2010,16+,7.4,NA,Noriyuki Abe,"Animation,Action,Adventure,Fantasy",Japan,Japanese,94
1025,Orbiter 9,2017,16+,5.9,67%,Hatem Khraiche,"Drama,Romance,Sci-Fi","Spain,Colombia","Spanish,English",95
1049,Jim Gaffigan: Beyond the Pale,2006,16+,8,NA,Michael Drumm,"Documentary,Comedy",United States,English,72
1060,Adventures in Public School,2018,16+,5.8,71%,Kyle Rideout,Comedy,"Canada,United States","English,Spanish",86
1073,WHAT DID JACK DO?,2017,16+,6.5,92%,David Lynch,"Short,Comedy,Crime,Drama,Fantasy,Music,Mystery,Thriller",United States,English,17
1074,Dangerous Lies,2020,16+,5.2,NA,Michael M. Scott,"Drama,Mystery,Thriller",United States,English,96
1081,Naruto the Movie: Ninja Clash in the Land of Snow,2004,16+,6.7,NA,Tensai Okamura,"Animation,Action,Adventure,Comedy",Japan,Japanese,113
1084,Naruto Shippuden the Movie: Bonds,2008,16+,7,NA,Hajime Kamegaki,"Animation,Action,Fantasy",Japan,Japanese,98
1099,Naruto the Movie: Legend of the Stone of Gelel,2005,16+,6.6,NA,Hirotsugu Kawasaki,"Animation,Adventure,Comedy,Drama,Fantasy",Japan,Japanese,97
1164,And Breathe Normally,2018,16+,6.8,92%,Isold Uggadottir,Drama,"Iceland,Sweden,Belgium","Icelandic,English",95
1194,Miss Virginia,2019,16+,6.6,60%,R.J. Daniel Hanna,Drama,United States,English,102
1201,Bleach the Movie: Fade to Black,2008,16+,7.3,NA,NA,NA,NA,NA,NA
1205,Come Sunday,2018,16+,5.9,63%,Joshua Marston,Drama,United States,English,106
1218,American Circumcision,2017,16+,7.3,60%,Brendon Marotta,Documentary,United States,English,101
1228,Savage Dog,2017,16+,4.9,75%,Jesse V. Johnson,"Action,Drama",United States,English,94
1273,Patrick,2018,16+,5.8,36%,Mandie Fletcher,"Comedy,Family,Romance",United Kingdom,English,94
1290,Long Shot,2017,16+,7.4,NA,Jonathan Levine,"Comedy,Romance",United States,"English,Swedish,French,Vietnamese,Russian,Hebrew",125
1321,The Last Summer,2019,16+,5.6,17%,William Bindley,Comedy,United States,English,109
1350,Sandy Wexler,2017,16+,5.1,27%,Steven Brill,Comedy,United States,English,130
1354,Badland,2019,16+,5.7,50%,Justin Lee,Western,United States,English,117
1403,True Memoirs of an International Assassin,2016,16+,5.9,NA,Jeff Wadlow,"Action,Comedy,Crime",United States,English,98
1458,K-On! The Movie,2011,16+,7.6,NA,Naoko Yamada,"Animation,Adventure,Comedy,Family,Music",Japan,Japanese,110
1470,Casting JonBenet,2017,16+,6.1,82%,Kitty Green,Documentary,"United States,Australia,China",English,80
1520,The Man Without Gravity,2019,16+,6.3,NA,Marco Bonfanti,"Comedy,Drama,Fantasy","Italy,Belgium","Italian,English,French",107
1564,Rakuen Tsuihou - Expelled from Paradise,2014,16+,6.7,NA,Seiji Mizushima,"Animation,Action,Adventure,Sci-Fi",Japan,Japanese,104
1604,Goyo: The Boy General,2018,16+,6.7,NA,Thomas J. Wright,Western,United States,English,NA
1616,Mercy Black,2019,16+,4.9,40%,Owen Egerton,"Horror,Mystery,Thriller",United States,English,88
