ID,Title,Year,Age,IMDb,Rotten_Tomatoes,Directors,Genres,Country,Language,Runtime
1646,Jim Gaffigan: Cinco,2017,16+,7.1,NA,Jeannie Gaffigan,Comedy,United States,English,73
1662,The Ridiculous 6,2015,16+,4.8,NA,Frank Coraci,"Comedy,Western",United States,English,119
1669,Sebastian Maniscalco: What's Wrong with People?,2012,16+,8.1,NA,Manny Rodriguez,Comedy,United States,English,75
1694,Naked,2017,16+,5.4,NA,Mike Leigh,"Comedy,Drama",United Kingdom,English,132
1708,Father of the Year,2018,16+,5.2,NA,Tyler Spindel,Comedy,United States,English,94
1711,Wedding Unplanned,2017,16+,6.2,NA,Reem Kherici,"Comedy,Drama",France,French,94
1720,The Legacy of a Whitetail Deer Hunter,2018,16+,5.5,32%,Jody Hill,"Comedy,Drama",United States,English,83
1757,Running for Grace,2018,16+,6.1,NA,David L. Cunningham,"Family,Romance",United States,English,110
1761,Love on Delivery,1994,16+,6.9,NA,Lik-Chi Lee,Comedy,Hong Kong,Cantonese,100
1765,No Other Woman,2011,16+,6.3,NA,Frederick De Cordova,"Action,Adventure,Comedy,Musical,Romance",United States,English,77
1768,Girls & Panzer: The Movie,2015,16+,7.3,NA,Tsutomu Mizushima,"Animation,Action,Comedy,Sport,War",Japan,Japanese,122
1790,Sister Cities,2016,16+,6.8,NA,Sean Hanish,Drama,United States,English,86
1795,Eddie: Strongman,2015,16+,7.5,NA,Matt Bell,Documentary,United Kingdom,English,98
1918,Sebastian Maniscalco: Why Would You Do That?,2016,16+,7.3,NA,Joe DeMaio,Comedy,United States,English,63
1953,The Carter Effect,2017,16+,7.1,NA,Sean Menard,"Documentary,Sport",United States,English,60
1974,Judwaa 2,2017,16+,3.8,36%,David Dhawan,"Action,Comedy",India,Hindi,145
1976,Gad Elmaleh: American Dream,2018,16+,7.2,NA,Michael Simon,Comedy,United States,English,57
2005,Tig Notaro: Happy To Be Here,2018,16+,6.6,NA,Tig Notaro,Comedy,United States,English,58
2053,Aiyaary,2018,16+,5.3,29%,Neeraj Pandey,"Action,Thriller",India,Hindi,157
2085,The Real Miyagi,2015,16+,7.1,NA,Kevin Derek,"Documentary,Action,Biography,Sport","United States,Canada,Japan,Panama",English,80
2173,Da Kath and Kim Code,2005,16+,7.4,NA,Ted Emery,Comedy,Australia,English,82
2264,#cats_the_mewvie,2020,16+,5.2,NA,Michael Margolis,Documentary,Canada,English,90
2272,Manhattan Romance,2015,16+,5.6,NA,Tom O'Brien,"Comedy,Drama,Romance",United States,English,94
2304,Thi Mai,2018,16+,5.9,NA,Patricia Ferreira,Comedy,Spain,"Spanish,English,Vietnamese",99
2309,Truth or Dare,2017,16+,5,NA,Jeff Wadlow,"Horror,Thriller",United States,"English,Spanish",100
2326,Lifeline,1997,16+,6.6,NA,NA,"Action,Sci-Fi,Thriller",United States,English,25
2479,Sextuplets,2019,16+,4.4,14%,Michael Tiddes,Comedy,United States,English,97
2499,Arctic Heart,2016,16+,5.2,NA,Marie Madinier,"Comedy,Drama,Romance,Sci-Fi","France,Belgium",French,81
2566,My True Friend,2012,16+,6.5,NA,Atsajun Sattakovit,Action,Thailand,Thai,103
2713,No Place Like Home,2019,16+,4.4,NA,Steve Carr,"Comedy,Family,Fantasy","Canada,United States",English,92
2782,The Russian Revloution,2017,16+,6.5,NA,Cal Seville,"Documentary,History",United Kingdom,English,47
2801,Handsome: A Netflix Mystery Movie,2017,16+,5.2,NA,Jeff Garlin,"Comedy,Mystery",United States,English,80
2841,Only Mine,2019,16+,4.7,NA,Michael Civille,"Drama,Thriller",United States,English,87
3224,Shark Busters,2002,16+,6.3,NA,Herman Yau,Drama,Hong Kong,"Cantonese,Mandarin",96
3337,Loving You,1995,16+,6.5,NA,Hal Kanter,"Drama,Musical",United States,English,101
3380,Train of the Dead,2007,16+,3.5,NA,Sukhum Mathawanit,"Crime,Horror,Mystery,Thriller",Thailand,Thai,88
3415,Deviant Love,2019,16+,3.7,NA,Michael Feifer,Thriller,United States,English,87
3914,Legion of Brothers,2017,16+,5.7,100%,Greg Barker,"Documentary,War",United States,English,79
3980,Trigun: Badlands Rumble,2010,16+,7.5,NA,Satoshi Nishimura,"Animation,Action,Sci-Fi,Western",Japan,Japanese,90
4059,Batman & Bill,2017,16+,8,NA,"Don Argott,Sheena M. Joyce","Documentary,Animation,Mystery",United States,English,93
4098,Dr. Feelgood,2016,16+,6.6,83%,NA,"Biography,Reality-TV",United States,English,NA
4148,K: Missing Kings,2014,16+,7.1,NA,Shingo Suzuki,"Animation,Action,Fantasy",Japan,Japanese,73
4191,Along Came the Devil,2018,16+,3.9,38%,Jason DeVan,"Drama,Horror,Thriller",United States,English,89
4211,Trapped: The Alex Cooper Story,2019,16+,6,NA,Jeffrey G. Hunt,"Biography,Drama",United States,English,87
4220,"Literally, Right Before Aaron",2017,16+,4.5,25%,Ryan Eggold,"Comedy,Drama",United States,English,102
4294,"Good Morning, Killer",2011,16+,5.1,NA,Maggie Greenwald,"Crime,Drama,Mystery,Thriller",United States,English,93
4299,Hide,2011,16+,5.2,NA,John Gray,"Drama,Thriller",United States,English,88
4336,Hornet's Nest,2012,16+,4.7,NA,Millicent Shelton,"Crime,Drama",United States,English,90
4353,Kill Thy Neighbor,2019,16+,4.5,NA,Ben Meyerson,"Drama,Thriller",United States,English,90
4357,Broken Star,2018,16+,4.3,NA,Dave Schwep,Thriller,United States,English,90
4363,Ricochet,2011,16+,4.6,NA,Russell Mulcahy,"Action,Crime,Drama,Thriller",United States,English,102
4368,Holly's Holiday,2012,16+,5.5,NA,Jim Fall,"Comedy,Fantasy,Romance",United States,English,85
4425,"Making a Killing: Guns, Greed and the NRA",2016,16+,4.1,NA,Robert Greenwald,Documentary,United States,English,103
4431,Man-Eating Python,2017,16+,4.7,NA,Mark Beech,Documentary,United States,English,60
4634,Truman,2015,16+,7.3,99%,Cesc Gay,"Comedy,Drama","Spain,Argentina","Spanish,English",108
4723,4 Little Girls,1997,16+,7.8,100%,Spike Lee,"Documentary,History",United States,English,102
4752,7 Boxes,2012,16+,7.1,97%,"Juan Carlos Maneglia,Tana Schémbori","Adventure,Crime,Drama,Mystery,Thriller","Paraguay,Spain","Spanish,Guarani,Korean",105
4817,Nas: Time Is Illmatic,2014,16+,7.1,100%,One9,"Documentary,Biography,History,Music",United States,English,74
4844,The Laramie Project,2002,16+,7.2,92%,Moisés Kaufman,"Crime,Drama,History",United States,English,97
4852,Valentine Road,2013,16+,7.1,91%,Marta Cunningham,Documentary,United States,English,89
4930,Casting By,2012,16+,7.6,94%,Tom Donahue,"Documentary,Biography",United States,English,89
4933,Neds,2010,16+,7,94%,Peter Mullan,Drama,"United Kingdom,France,Italy","English,Scots,Latin",124
4951,The Night Eats the World,2018,16+,6,85%,Dominique Rocher,"Drama,Horror,Thriller",France,"Norwegian,English,French",93
5012,Apostasy,2017,16+,6.8,97%,Daniel Kokotajlo,Drama,United Kingdom,"English,Urdu",95
5096,The English Surgeon,2009,16+,8.1,89%,Geoffrey Smith,Documentary,United Kingdom,"English,Ukrainian",94
5135,Off the Rails,2016,16+,7.1,100%,Jules Williamson,Comedy,United Kingdom,English,NA
5197,The Special Relationship,2010,16+,6.7,86%,Richard Loncraine,"Biography,Drama,History","United Kingdom,United States","English,French",93
5208,Angels Wear White,2017,16+,7.2,94%,Vivian Qu,Drama,China,Mandarin,107
5226,King Lear,2018,16+,6.1,91%,Richard Eyre,"Drama,History","United Kingdom,United States",English,115
5356,Dark Money,2018,16+,7,96%,NA,"Crime,Drama,Thriller",United Kingdom,English,220
5412,The Little Girl Who Was Too Fond of Matches,2017,16+,7,86%,Simon Lavoie,"Drama,Horror,Mystery",Canada,French,112
5422,A River Below,2017,16+,7.2,100%,Mark Grieco,Documentary,"Colombia,United States","English,Spanish,Portuguese",86
5564,Diverge,2016,16+,4.5,100%,James Morrison,"Drama,Sci-Fi,Thriller",United States,English,85
5572,Under the Bombs,2007,16+,7,80%,Philippe Aractingi,"Drama,Romance,War","France,Lebanon,United Kingdom","Arabic,English,French",98
5586,Winter Brothers,2017,16+,6.5,91%,Hlynur Palmason,Drama,"Denmark,Iceland","Danish,English",94
5656,All This Panic,2017,16+,6.8,94%,Jenny Gage,Documentary,United States,English,79
5765,The Culture High,2014,16+,8.2,NA,Brett Harvey,"Documentary,News","United Kingdom,United States,Canada,Spain",English,120
5838,What Still Remains,2018,16+,4.7,90%,Josh Mendoza,"Drama,Thriller",United States,English,92
5875,Don't Talk to Irene,2017,16+,6.2,75%,Pat Mills,Comedy,Canada,English,90
5889,Bad Blood: The Movie,2017,16+,4.2,100%,Tim Reis,"Fantasy,Horror,Sci-Fi",United States,English,80
5934,Halo 4: Forward Unto Dawn,2012,16+,6.9,NA,NA,"Action,Adventure,Family,Sci-Fi,Thriller,War",United States,English,100
5944,Manhunt: The Inside Story of the Hunt for Bin Laden,2013,16+,6.9,57%,Greg Barker,"Documentary,History,War","United States,United Kingdom,United Arab Emirates,Afghanistan",English,102
5948,Demon House,2018,16+,5.2,45%,Zak Bagans,"Documentary,Horror,Mystery,Thriller",United States,English,111
6124,Innocent,2011,16+,5.4,90%,NA,"Crime,Drama,Mystery",United Kingdom,English,45
6144,Bury My Heart at Wounded Knee,2007,16+,7.1,NA,Yves Simoneau,"Drama,History,Western",United States,English,133
6160,Sharknado,2013,16+,3.3,78%,Anthony C. Ferrante,"Action,Adventure,Comedy,Horror,Sci-Fi,Thriller",United States,English,86
6251,Aankhen,2002,16+,7.4,NA,Vipul Amrutlal Shah,"Crime,Drama,Thriller",India,Hindi,165
6261,Bonhoeffer,2003,16+,7.2,71%,Eric Till,"Crime,Drama,History,Thriller,War","Canada,Germany,United States",English,88
6370,Living on One Dollar,2013,16+,7.3,NA,"Zach Ingrasci,Sean Leonard,Chris Temple","Documentary,Adventure,Drama","United States,Guatemala",English,56
6388,Shanghai,2012,16+,7.2,NA,Mikael Håfström,"Crime,Drama,Mystery,Romance,Thriller","China,United States","English,Mandarin,Japanese,German",105
6521,"Never Steady, Never Still",2017,16+,6,79%,Kathleen Hepburn,Drama,Canada,English,112
6540,The Hunting of the President,2004,16+,6.8,74%,"Nickolas Perry,Harry Thomason",Documentary,United States,English,90
6576,Path to War,2002,16+,7.3,NA,John Frankenheimer,"Biography,Drama,War",United States,English,165
6621,Sharknado 2: The Second One,2014,16+,4,61%,Anthony C. Ferrante,"Action,Adventure,Comedy,Horror,Sci-Fi,Thriller",United States,English,95
6644,The Discoverers,2014,16+,5.7,88%,Justin Schwarz,Comedy,United States,English,104
6725,All About the Money,2017,16+,5.8,NA,Kevin Bray,"Action,Comedy,Crime,Thriller","United States,Germany","English,French",95
6748,The Secret Diaries of Miss Anne Lister,2010,16+,7,NA,James Kent,"Biography,Drama,Romance",United Kingdom,English,92
6773,Bang Bang Baby,2014,16+,5,67%,Jeffrey St. Jules,"Drama,Fantasy,Musical,Romance,Sci-Fi",Canada,English,90
6853,Adieu Galaxy Express 999,1981,16+,7,NA,Rintaro,"Animation,Action,Drama,Sci-Fi","Japan,United States","Japanese,English",135
6881,All Summers End,2017,16+,6,20%,Kyle Wilamowski,"Drama,Romance",United States,English,90
6952,Houdini,2014,16+,7.4,NA,NA,"Biography,Drama","United States,Canada",English,174
6975,Monster Camp,2007,16+,6.6,64%,Cullen Hoback,"Documentary,Fantasy",United States,English,81
6983,Aya,2012,16+,7.2,NA,"Oded Binnun,Mihal Brezis","Short,Drama,Music,Romance","France,Israel","English,Hebrew,Danish",40
7004,Mom at Sixteen,2005,16+,6.7,NA,Peter Werner,Drama,"United States,Canada",English,90
7149,Captivated: The Trials of Pamela Smart,2014,16+,6.6,75%,Jeremiah Zagar,Documentary,United States,English,98
7162,The Sand,2015,16+,3.8,40%,Isaac Gabaeff,"Comedy,Horror,Sci-Fi,Thriller",United States,English,84
7173,Kissing Candice,2018,16+,5.2,73%,Aoife McArdle,Drama,"Ireland,United Kingdom",English,108
7175,Private Violence,2014,16+,6.9,90%,Cynthia Hill,"Documentary,Crime,Drama",United States,English,80
7228,Sharknado 3: Oh Hell No!,2015,16+,4.1,36%,Anthony C. Ferrante,"Action,Adventure,Comedy,Horror,Sci-Fi,Thriller",United States,English,93
7325,The Beyond,2018,16+,4.8,NA,Lucio Fulci,Horror,Italy,Italian,87
7352,The Business of Amateurs,2016,16+,7.4,NA,Bob DeMars,"Documentary,Drama,Sport",United States,English,89
7353,Bernard and Doris,2006,16+,6.5,NA,Bob Balaban,"Biography,Comedy,Drama,Romance","United States,United Kingdom",English,102
7388,Sharknado 5: Global Swarming,2017,16+,3.9,30%,Anthony C. Ferrante,"Action,Adventure,Comedy,Fantasy,Horror,Sci-Fi,Thriller",United States,English,93
7391,96 Souls,2016,16+,6.4,NA,Stanley Jacobs,"Drama,Mystery,Sci-Fi,Thriller",United States,English,112
7425,A Frosty Affair,2015,16+,6.2,NA,Dylan Pearce,"Adventure,Comedy,Romance",Canada,English,96
7431,Cinema Verite,2011,16+,6.5,NA,"Shari Springer Berman,Robert Pulcini",Drama,United States,English,86
7457,Cottage Country,2013,16+,5.6,20%,Peter Wellington,"Comedy,Crime,Horror,Romance",Canada,English,91
7589,The Botany of Desire,2009,16+,7.6,NA,"Michael Schwarz,Edward Gray",Documentary,United States,English,120
7644,Machine Gun Preacher Documentary,2014,16+,8.8,NA,"Kevin Evans,Zac Simpson",Documentary,"United States,Australia",English,73
7806,eCupid,2011,16+,5.2,NA,J.C. Calciano,Romance,United States,English,95
7856,Escape and Evasion,2019,16+,4.8,80%,Storm Ashwood,"Drama,War","Australia,United Arab Emirates",English,92
7911,Double Mommy,2016,16+,6.1,NA,Doug Campbell,Drama,United States,English,90
7925,The Butterfly Tree,2017,16+,5.3,46%,Priscilla Cameron,Drama,Australia,English,97
7980,Run for Your Life,2014,16+,5.6,NA,NA,Drama,United States,English,60
7995,Capturing Mary,2007,16+,6.9,NA,Stephen Poliakoff,Drama,"United Kingdom,United States",English,105
8078,Sharknado 6,2018,16+,3.5,27%,Anthony C. Ferrante,"Action,Adventure,Comedy,Fantasy,Horror,Sci-Fi,Thriller",United States,English,86
8173,The Patent Scam,2017,16+,7.5,NA,Austin Meyer,Documentary,United States,English,109
8188,Sole Survivor,2013,16+,6.5,NA,Thom Eberhardt,"Horror,Thriller",United States,English,85
8413,Margaret,2009,16+,7.2,NA,Kenneth Lonergan,Drama,United States,English,150
8454,The Joke Thief,2018,16+,6.1,NA,Frank D'Angelo,Drama,Canada,English,81
8529,A Sister's Nightmare,2013,16+,5.8,NA,Vic Sarin,"Drama,Mystery,Thriller",Canada,English,86
8603,The Curse of Sleeping Beauty,2016,16+,4.2,15%,Pearry Reginald Teo,"Fantasy,Horror,Mystery,Thriller",United States,English,89
8690,Walking the Halls,2012,16+,5.6,NA,Doug Campbell,"Drama,Thriller","United States,Canada",English,90
8830,Rosemont,2015,16+,6.4,NA,Daniel Petrie Jr.,Drama,United States,English,95
8866,Threesomething,2018,16+,3.4,NA,James Morosini,Comedy,United States,English,75
8875,Last Summer,2013,16+,5.6,NA,Jim Gillespie,"Horror,Mystery",United States,English,101
8909,I Do (but I Don't),2004,16+,5.6,NA,Kelly Makin,"Comedy,Drama,Romance",Canada,English,97
8930,Koursk: Un sous-marin en eaux troubles,2004,16+,7.5,NA,Jean-Michel Carré,Documentary,France,"English,French",72
8954,Laughing Boy,2002,16+,5.5,NA,W.S. Van Dyke,"Drama,Romance,Western",United States,English,79
8958,The Club of the Misunderstood,2014,16+,5.7,NA,Adi Yadoni,Documentary,Singapore,English,56
8964,Girls Night Out,2017,16+,4.5,NA,Lucia Aniello,"Comedy,Crime,Thriller",United States,"English,Spanish",101
9053,Shirin in Love,2014,16+,5,21%,Ramin Niami,"Comedy,Romance",United States,English,104
9058,One Under the Sun,2017,16+,3.5,NA,"Riyaana Hartley,Vincent Tran","Drama,Mystery,Sci-Fi,Thriller",United States,English,101
9134,Discovering Bigfoot,2017,16+,3.9,NA,Todd Standing,Documentary,United States,English,90
9172,Oceans Rising,2017,16+,2.4,NA,Adam Lipsius,"Action,Adventure,Drama,Sci-Fi,Thriller",United States,English,87
9190,Flirting with Danger,2006,16+,4.8,NA,Richard Roy,"Drama,Mystery,Thriller",Canada,English,120
9256,Beyond Boundaries: The Harvey Weinstein Scandal,2018,16+,4.1,NA,Jordan Hill,Documentary,United Kingdom,English,94
9275,Born Bad,2011,16+,4.4,NA,Jared Cohn,"Drama,Thriller",United States,English,86
9333,A Date with Miss Fortune,2015,16+,5.3,NA,John L'Ecuyer,"Comedy,Romance",Canada,"English,Portuguese",97
9421,For the Love of George,2018,16+,5.6,NA,Maria Burton,"Comedy,Drama,Romance",United States,English,89
9436,The Mentor,2014,16+,5,NA,Moez Solis,Thriller,United States,English,74
9477,Adolf Hitler: Pure Evil,2016,16+,8.3,NA,Philip Gardiner,Documentary,United States,English,70
9498,For One Night,2006,16+,6.4,NA,Ernest R. Dickerson,"Drama,Romance",United States,English,89
9598,Arrowhead,2017,16+,4.4,NA,Jesse O'Brien,"Action,Adventure,Sci-Fi",Australia,English,95
9599,The Caretaker,2016,16+,4.1,NA,Clive Donner,Drama,United Kingdom,English,105
9616,Lavalantula,2015,16+,4.5,NA,Mike Mendez,"Action,Adventure,Comedy,Horror,Sci-Fi,Thriller",United States,English,83
9657,Jack Reed: One of Our Own,1995,16+,6.3,NA,Brian Dennehy,"Crime,Drama",United States,English,120
9812,Stalked by My Doctor: The Return,2016,16+,5.7,NA,Doug Campbell,Thriller,United States,English,97
9846,A Daughter's Nightmare,2014,16+,5.8,NA,Vic Sarin,"Drama,Mystery,Thriller",Canada,English,87
9910,Christmas Belles,2019,16+,6.8,NA,Terri J. Vaughn,Comedy,United States,English,85
9912,Jens Pulver: Driven,2011,16+,6.8,NA,Gregory Bayne,Documentary,United States,English,95
10035,Women & Sometimes Men,2017,16+,3.9,NA,Lesley Demetriades,"Drama,Romance",United States,English,87
10036,Stalked by My Mother,2016,16+,5,NA,Doug Campbell,"Mystery,Thriller",United States,English,90
10063,Asteroid vs Earth,2014,16+,2.7,NA,Christopher Ray,"Action,Adventure,Sci-Fi,Thriller",United States,English,91
10082,Sharktopus vs. Whalewolf,2015,16+,3.2,NA,Kevin O'Neill,"Action,Adventure,Comedy,Horror,Sci-Fi,Thriller",United States,English,85
10150,Taken Too Far,2017,16+,4.7,NA,Paul Lynch,"Drama,Thriller",Canada,English,92
10289,Love & Teleportation,2013,16+,5.4,NA,Troy McGatlin,"Romance,Sci-Fi",United States,English,92
10333,A Real American Hero,1978,16+,5.8,NA,Lou Antonio,"Crime,Drama",United States,English,90
10338,CLONED: The Recreator Chronicles,2012,16+,4.3,NA,Gregory Orr,"Sci-Fi,Thriller",United States,English,90
10351,Dirty Lies,2016,16+,4.5,NA,Jamie Marshall,"Action,Crime,Drama,Thriller",United States,English,94
10509,Solitary,2009,16+,5.3,NA,John E Seymore,"Horror,Reality-TV,Thriller",United States,English,109
10513,Katherine,1975,16+,6.2,NA,Jeremy Kagan,Drama,United States,English,97
10585,Sharknado: Feeding Frenzy,2015,16+,3.8,NA,Jeremy Wagener,"Documentary,Horror",United States,English,78
10586,Yakuza Weapon,2011,16+,5.1,NA,"Tak Sakaguchi,Yudai Yamaguchi","Action,Sci-Fi",Japan,Japanese,105
10747,The Kaos Brief,2017,16+,4.4,NA,JP Mandarino,"Horror,Sci-Fi",United States,English,75
10751,Miami Magma,2011,16+,3.3,NA,Todor Chapkanov,"Sci-Fi,Thriller",United States,English,87
10772,"Kevin Nealon: Whelmed, But Not Overly",2012,16+,6.3,NA,Jay Chapman,Comedy,United States,English,57
10857,1313: Haunted Frat,2011,16+,4.1,NA,David DeCoteau,Horror,United States,English,75
10882,Maladies,2013,16+,5.2,5%,Carter,Drama,United States,English,96
10966,Pregnant in America,2008,16+,5.8,NA,Steve Buonaugurio,Documentary,United States,English,104
10986,Street Fighter: Round One - FIGHT!,2009,16+,6.9,NA,NA,"Action,Adventure,Fantasy,Thriller","Japan,United States",NA,68
10990,Piranhaconda,2012,16+,2.9,NA,Jim Wynorski,"Action,Horror,Sci-Fi",United States,English,86
10992,All Between Us,2018,16+,2.8,NA,Jamie Jones,Comedy,United States,English,80
11076,Stealing Paradise,2011,16+,5.5,NA,Tristan Dubois,"Drama,Mystery,Thriller",Canada,English,83
11108,My Mother's Future Husband,2014,16+,5.8,NA,George Erschbamer,Family,Canada,English,88
11120,Tomb Invader,2018,16+,2.5,NA,James Thomas,"Action,Adventure",United States,"English,Mandarin",83
11126,My Daddy is in Heaven,2018,16+,4.6,NA,Waymon Boone,"Comedy,Drama,Family",United States,English,92
11152,The Conduit,2016,16+,3.3,NA,Sixto Melendez,"Horror,Thriller",United States,English,101
11208,Along Recovery,2012,16+,8.6,NA,Justin J. Springer,Documentary,United States,English,94
11223,Joe's War,2017,16+,3.9,NA,Phil Falcone,Drama,United States,English,107
11355,Zoombies,2016,16+,3.3,NA,Glenn Miller,"Action,Adventure,Comedy,Horror,Sci-Fi,Thriller",United States,English,87
11382,Cassidy Red,2017,16+,4.4,NA,Matt Knudsen,"Action,Adventure,Drama,Romance,Western",United States,English,91
11385,Wyvern,2009,16+,4.6,NA,Steven R. Monroe,"Action,Adventure,Fantasy,Horror,Sci-Fi,Thriller","Canada,United States",English,89
11489,Living Forever,2018,16+,7.8,NA,Philip Gardiner,Documentary,United States,English,70
11499,The Incantation,2018,16+,3.4,NA,Jude S. Walko,"Adventure,Fantasy,Horror,Mystery,Thriller",United States,NA,98
11581,The Killing Pact,2017,16+,4.6,NA,John Lyde,Thriller,United States,English,91
11679,Troy the Odyssey,2017,16+,2.6,NA,Tekin Girgin,"Action,Adventure,Fantasy",United States,English,90
